NR_CNPJ;NM_EMPRESA;NR_CONTRATO;AN_INICIO_VIGENCIA;AN_FIM_VIGENCIA;AN_CONTRATO;CD_MOEDA;VL_CONTRATO;TP_CONTRATO
Instituicao estrangeira;ORGANISATION FOR ECONOMIC CO-OPERATION AND DEVELOPMENT - OECD;20/2022;2022-11-10;2025-11-10;2022;USD;949853.52;Portal de Periodicos da CAPES
Instituicao estrangeira;BIOONE;21/2022;2022-04-09;2025-05-09;2022;USD;497678.01;Portal de Periodicos da CAPES
11.162.311/0001-73;R7 FACILITIES - SERVICOS D?E ENGENHARIA EIRELI;25/2022;2022-05-09;2022-12-11;2022;BRL;190003.24;Servicos
Instituicao estrangeira;OVID TECHNOLOGIES, INC.;27/2022;2022-09-11;2023-11-11;2022;USD;2104594.98;Portal de Periodicos da CAPES
Instituicao estrangeira;PROQUEST LLC;28/2022;2022-08-11;2023-08-11;2022;USD;47535.2;Portal de Periodicos da CAPES
Instituicao estrangeira;TAYLOR & FRANCIS;29/2022;2022-12-11;2025-11-12;2022;USD;4642815.6;Portal de Periodicos da CAPES
57.142.978/0001-05;BRASOFTWARE INFORMATICA LTDA.;31/2022;2022-02-12;2023-02-12;2022;BRL;23342.05;Informatica (TIC)
05.673.799/0001-09;PPN TECNOLOGIA E INFORMATICA LTDA.;32/2022;2022-12-02;2025-12-02;2022;BRL;263408.0;Informatica (TIC)
01.936.069/0010-85;DIGISYSTEM SERVICOS ESPECIALIZADOS LTDA.;33/2022;2022-03-11;2023-03-11;2022;BRL;16541805.6;Mao de Obra
08.368.875/0001-52;FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA;35/2022;2022-12-09;2023-12-09;2022;BRL;614934.0;Compras
33.065.699/0001-27;SEGUROS SURA S/A.;39/2022;2022-01-12;2023-12-12;2022;BRL;4800.0;Servicos
24.425.034/0001-96;JAMC CONSULTORIA E REPRESENTACAO DE SOFTWARE LTDA.;45/2022;2022-12-12;2023-12-12;2022;BRL;2545200.0;Informatica (TIC)
24.425.034/0001-96;JAMC CONSULTORIA E REPRESENTACAO DE SOFTWARE LTDA.;46/2022;2022-11-12;2023-11-12;2022;BRL;124000.0;Informatica (TIC)
03.508.097/0003-06;REDE NACIONAL DE ENSINO E PESQUISA - RNP;48/2022;2022-10-12;2023-07-12;2022;BRL;6298846.89;Informatica (TIC)
33.683.111/0001-07;SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SEPRO;13574/2022;2022-12-08;2023-12-08;2022;BRL;1254.0;Informatica (TIC)
