NR_CNPJ;NM_EMPRESA;NR_CONTRATO;AN_INICIO_VIGENCIA;AN_FIM_VIGENCIA;AN_CONTRATO;CD_MOEDA;VL_CONTRATO;TP_CONTRATO
03.508.097/0001-36;REDE NACIONAL DE ENSINO E PESQUISA - RNP;19/2022;" 01/06/2022";" 30/06/2024";2022;BRL;5909210.57;Servicos
Instituição estrangeira;ORGANISATION FOR ECONOMIC CO-OPERATION AND DEVELOPMENT - OECD;20/2022;" 10/11/2022";" 10/11/2025";2022;USD;949853.52;Portal de Periodicos da CAPES
Instituição estrangeira;BIOONE;21/2022;9/04/2022;9/05/2025;2022;USD;497678.01;Portal de Periodicos da CAPES
11.162.311/0001-73;R7 FACILITIES - SERVICOS D?E ENGENHARIA EIRELI;25/2022;9/05/2022;11/12/2022;2022;BRL;190003.24;Servicos
Instituição estrangeira;OVID TECHNOLOGIES, INC.;27/2022;11/09/2022;11/11/2023;2022;USD;2104594.98;Portal de Periodicos da CAPES
Instituição estrangeira;PROQUEST LLC;28/2022;11/08/2022;11/08/2023;2022;USD;47535.2;Portal de Periodicos da CAPES
Instituição estrangeira;TAYLOR & FRANCIS;29/2022;" 11/12/2022";12/11/2025;2022;USD;4642815.6;Portal de Periodicos da CAPES
57.142.978/0001-05;BRASOFTWARE INFORMÁTICA LTDA.;31/2022;12/2/2022;12/2/2023;2022;BRL;23342.05;Informatica (TIC)
05.673.799/0001-09;PPN TECNOLOGIA E INFORMÁTICA LTDA.;32/2022;" 02/12/2022";" 02/12/2025";2022;BRL;263408;Informatica (TIC)
01.936.069/0010-85;DIGISYSTEM SERVIÇOS ESPECIALIZADOS LTDA.;33/2022;11/03/2022;11/03/2023;2022;BRL;16541805.6;Mao de Obra
08.368.875/0001-52;FORTLINE INDÚSTRIA E COMÉRCIO DE MÓVEIS LTDA;35/2022;" 09/12/2022";" 09/12/2023";2022;BRL;614934;Compras
33.065.699/0001-27;SEGUROS SURA S/A.;39/2022;12/01/2022;12/12/2023;2022;BRL;4800;Servicos
24.425.034/0001-96;JAMC CONSULTORIA E REPRESENTAÇÃO DE SOFTWARE LTDA.;45/2022;12/12/2022;12/12/2023;2022;BRL;2545200;Informatica (TIC)
24.425.034/0001-96;JAMC CONSULTORIA E REPRESENTAÇÃO DE SOFTWARE LTDA.;46/2022;12/11/2022;12/11/2023;2022;BRL;124000;Informatica (TIC)
03.508.097/0003-06;REDE NACIONAL DE ENSINO E PESQUISA - RNP;48/2022;12/10/2022;12/07/2023;2022;BRL;6298846.89;Informatica (TIC)
33.683.111/0001-07;SERVIÇO FEDERAL DE PROCESSAMENTO DE DADOS - SEPRO;13574/2022;8/12/2022;8/12/2023;2022;BRL;1254;Informatica (TIC)
